행정구역코드,행정구역,위도,경도
2614063000,부산광역시 서구 초장동,35.09479,129.01732
2614064000,부산광역시 서구 충무동,35.09703,129.02337
2614065000,부산광역시 서구 남부민1동,35.08999,129.01991
2614068000,부산광역시 서구 암남동,35.07015,129.01291
2614066000,부산광역시 서구 남부민2동,35.08487,129.02115
2617051000,부산광역시 동구 초량1동,35.11497,129.0364
2617052000,부산광역시 동구 초량2동,35.11771,129.03181
2617053000,부산광역시 동구 초량3동,35.12017,129.04404
2617055000,부산광역시 동구 초량6동,35.12517,129.03107
2617056000,부산광역시 동구 수정1동,35.12446,129.04134
2617057000,부산광역시 동구 수정2동,35.1318,129.03873
2617059000,부산광역시 동구 수정4동,35.13039,129.03286
2617060000,부산광역시 동구 수정5동,35.13549,129.04162
2617066000,부산광역시 동구 범일2동,35.13513,129.06131
2617065000,부산광역시 동구 범일1동,35.14139,129.04817
2617068000,부산광역시 동구 범일5동,35.12636,129.05736
2617064500,부산광역시 동구 좌천동,35.13443,129.05095
2620053000,부산광역시 영도구 남항동,35.08968,129.03706
2620054000,부산광역시 영도구 영선1동,35.08846,129.0429
2620055000,부산광역시 영도구 영선2동,35.08017,129.0436
