common_name,class,order,adult_weight_g,max_longevity_yrs,metabolic_rate_w,body_mass_g,female_maturity_days,gestation_days,litter_size,body_temp_k
Common poorwill,Aves,Caprimulgiformes,37.5,,0.1566,35.0,365.0,20.0,2.0,
Marbled frogmouth,Aves,Caprimulgiformes,169.0,,,,,,,
Tawny frogmouth,Aves,Caprimulgiformes,349.0,17.9,,,,,,
Dwarf cassowary,Aves,Casuariiformes,35000.0,26.0,,,1461.0,,,
Southern cassowary,Aves,Casuariiformes,44000.0,30.0,,,1454.0,,,
Northern cassowary,Aves,Casuariiformes,47300.0,22.0,,,,,,
Emu,Aves,Casuariiformes,38925.0,16.6,,,727.0,,,
Crested auklet,Aves,Charadriiformes,289.0,10.8,,,1095.0,34.0,1.0,
Least auklet,Aves,Charadriiformes,96.0,8.1,,,1095.0,30.0,1.0,
Whiskered auklet,Aves,Charadriiformes,120.0,15.0,,,,,1.0,
Razorbill,Aves,Charadriiformes,726.0,42.0,,,1460.0,36.0,1.0,
Marbled murrelet,Aves,Charadriiformes,222.0,10.0,,,730.0,,,
Pigeon guillemot,Aves,Charadriiformes,483.8,15.2,,,1095.0,31.0,2.0,
Black guillemot,Aves,Charadriiformes,427.5,29.9,,,1095.0,25.0,2.0,
Rhinoceros auklet,Aves,Charadriiformes,544.1,28.2,,,1095.0,45.0,1.0,
Atlantic puffin,Aves,Charadriiformes,490.5,45.0,,,1460.0,42.0,1.0,
Cassin's auklet,Aves,Charadriiformes,184.0,16.2,,,730.0,,,
Ancient murrelet,Aves,Charadriiformes,223.6,,,,730.0,33.0,2.0,
Xantus' murrelet,Aves,Charadriiformes,167.0,15.0,,,730.0,34.0,2.0,
Common murre,Aves,Charadriiformes,992.0,42.8,6.8224,956.0,1825.0,31.0,1.0,
Thick-billed murre,Aves,Charadriiformes,964.0,29.0,6.8224,989.0,1862.0,33.0,1.0,
Bush stone-curlew,Aves,Charadriiformes,667.967,5.5,,,,,,
Eurasian thick-knee,Aves,Charadriiformes,459.0,17.9,,,727.0,,,
Snowy plover,Aves,Charadriiformes,37.0,19.0,,,310.0,24.0,3.0,
Double-banded plover,Aves,Charadriiformes,59.4,18.3,,,363.0,,,
Little ringed plover,Aves,Charadriiformes,38.7,13.0,0.416,36.0,730.0,,,
Common ringed plover,Aves,Charadriiformes,64.0,20.8,,,365.0,,,
Greater sand plover,Aves,Charadriiformes,75.0,21.6,,,727.0,,,
Piping plover,Aves,Charadriiformes,49.0,14.0,,,365.0,28.0,4.0,
Lesser sand plover,Aves,Charadriiformes,64.0,15.6,,,,,,
Mountain plover,Aves,Charadriiformes,100.0,10.0,,,365.0,,6.0,
Eurasian dotterel,Aves,Charadriiformes,108.5,11.8,,,727.0,,,
Red-capped plover,Aves,Charadriiformes,41.2,21.0,,,428.0,,,
Semipalmated plover,Aves,Charadriiformes,52.0,9.2,,,912.0,24.0,4.0,
Killdeer,Aves,Charadriiformes,88.0,10.9,,,365.0,24.0,4.0,
Black-fronted dotterel,Aves,Charadriiformes,31.5,,,,,,,
"European golden-plover, or Greater golden-plover",Aves,Charadriiformes,214.0,13.8,,,730.0,,,
American golden plover,Aves,Charadriiformes,118.0,13.0,,,365.0,26.0,4.0,
Pacific golden-plover,Aves,Charadriiformes,135.0,21.3,,,365.0,,,
Black-bellied plover,Aves,Charadriiformes,224.0,25.6,,,730.0,27.0,4.0,
Hooded dotterel,Aves,Charadriiformes,100.0,16.2,,,,,,
Blacksmith lapwing,Aves,Charadriiformes,156.0,18.6,,,,29.0,,
Masked lapwing,Aves,Charadriiformes,379.0,13.9,,,545.0,,,
Spur-winged lapwing,Aves,Charadriiformes,188.0,17.0,,,,,,
Northern lapwing,Aves,Charadriiformes,218.5,24.5,,,730.0,24.0,4.0,
Oriental pratincole,Aves,Charadriiformes,76.0,4.4,,,,,,
Black oystercatcher,Aves,Charadriiformes,670.0,16.0,,,1825.0,26.0,2.0,
Sooty oystercatcher,Aves,Charadriiformes,789.2,19.9,,,,,,
Pied oystercatcher,Aves,Charadriiformes,566.25,30.2,,,1454.0,,,
Eurasian oystercatcher,Aves,Charadriiformes,480.0,43.3,2.91,449.0,1095.0,,,
American oystercatcher,Aves,Charadriiformes,565.0,17.0,,,1095.0,27.0,2.0,
Black noddy,Aves,Charadriiformes,110.4,27.1,,,730.0,34.0,1.0,
"Brown noddy, or Noddy tern",Aves,Charadriiformes,178.0,26.2,0.788095,138.7,1095.0,35.0,1.0,
Lesser noddy,Aves,Charadriiformes,104.56,15.0,,,,,,
Whiskered tern,Aves,Charadriiformes,88.0,16.0,,,,,,
Black tern,Aves,Charadriiformes,60.0,21.0,,,730.0,21.0,3.0,
Slender-billed gull,Aves,Charadriiformes,281.0,31.7,,,730.0,,,
Silver gull,Aves,Charadriiformes,295.375,28.8,,,,,,
Black-headed gull,Aves,Charadriiformes,306.0,32.9,,,730.0,22.0,3.0,
Gull-billed tern,Aves,Charadriiformes,221.0,16.0,,,1825.0,22.0,3.0,
White tern,Aves,Charadriiformes,98.1,35.9,0.82236,98.1,1764.0,36.0,1.0,
Little gull,Aves,Charadriiformes,119.0,20.9,,,730.0,21.0,3.0,
Caspian tern,Aves,Charadriiformes,644.0,30.0,,,1095.0,21.0,2.0,
Audouin's gull,Aves,Charadriiformes,535.0,25.0,,,1095.0,,,
Great black-headed gull,Aves,Charadriiformes,1394.0,,,,1095.0,,,
Mediterranean gull,Aves,Charadriiformes,256.0,22.1,,,1095.0,,,
Inca tern,Aves,Charadriiformes,219.0,26.0,,,,28.0,,
Herring gull,Aves,Charadriiformes,1094.0,49.0,4.817,1000.0,1825.0,26.0,3.0,
Caspian gull,Aves,Charadriiformes,1117.2,31.9,,,1460.0,,,
California gull,Aves,Charadriiformes,691.0,30.0,,,1095.0,25.0,3.0,
Mew gull,Aves,Charadriiformes,430.6,33.7,2.257,431.0,1095.0,23.0,3.0,
Ring-billed gull,Aves,Charadriiformes,518.5,31.8,2.91742,439.0,730.0,21.0,3.0,
Kelp gull,Aves,Charadriiformes,989.0,27.0,,,,,,
Lesser black-backed gull,Aves,Charadriiformes,766.2,34.9,,,1460.0,,,
Glaucous-winged gull,Aves,Charadriiformes,908.0,32.0,,,2009.0,27.0,3.0,
Iceland gull,Aves,Charadriiformes,945.5,33.0,,,1460.0,25.0,2.39,
Heermann's gull,Aves,Charadriiformes,500.0,24.0,,,,,,
Glaucous gull,Aves,Charadriiformes,1210.0,21.1,,,1460.0,27.0,3.0,
Great black-backed gull,Aves,Charadriiformes,1658.5,32.8,,,1825.0,27.0,3.0,
Yellow-legged gull,Aves,Charadriiformes,1089.5,19.2,,,1460.0,,,
Western gull,Aves,Charadriiformes,931.5,33.9,3.43629,761.0,1825.0,27.0,3.0,
Pacific gull,Aves,Charadriiformes,1313.5,24.3,,,,,,
Laughing gull,Aves,Charadriiformes,275.6,22.0,,,,24.0,3.0,
Franklin's gull,Aves,Charadriiformes,263.3,,,,730.0,24.0,3.0,
Bridled tern,Aves,Charadriiformes,133.3,24.9,,,,,,
Sooty tern,Aves,Charadriiformes,148.0,35.8,,,1460.0,28.0,1.0,
Gray-backed tern,Aves,Charadriiformes,131.7,25.8,,,1825.0,,1.0,
Ivory gull,Aves,Charadriiformes,550.0,23.9,,,730.0,25.0,2.0,
Blue-gray noddy,Aves,Charadriiformes,53.0,15.0,,,,,,
Red-legged kittiwake,Aves,Charadriiformes,377.0,27.0,,,,,,
Black-legged kittiwake,Aves,Charadriiformes,317.0,28.5,,,1460.0,27.0,2.0,
Black skimmer,Aves,Charadriiformes,315.0,20.2,,,730.0,23.0,4.0,
Roseate tern,Aves,Charadriiformes,112.0,25.7,,,1095.0,23.0,2.0,
Forster's tern,Aves,Charadriiformes,158.0,15.8,,,730.0,23.0,3.0,
Common tern,Aves,Charadriiformes,120.0,33.0,,,1095.0,24.0,2.5,
Arctic tern,Aves,Charadriiformes,100.0,34.0,,,1095.0,21.0,2.0,
Black-naped tern,Aves,Charadriiformes,106.0,,,,,,,
Little tern,Aves,Charadriiformes,31.0,23.9,,,730.0,21.0,2.0,
Least tern,Aves,Charadriiformes,40.0,24.1,,,1095.0,21.0,2.0,
Fairy tern,Aves,Charadriiformes,72.15,17.2,,,,,,
Lesser crested tern,Aves,Charadriiformes,213.0,14.0,,,,,,
Greater crested tern,Aves,Charadriiformes,334.5,32.2,,,727.0,,,
Elegant tern,Aves,Charadriiformes,251.0,20.9,,,1095.0,26.0,1.0,
Royal tern,Aves,Charadriiformes,373.0,28.6,,,1095.0,28.0,2.0,
Sandwich tern,Aves,Charadriiformes,250.0,30.8,,,1095.0,22.0,1.0,
Plains-wanderer,Aves,Charadriiformes,67.8,2.3,,,,,,
Banded stilt,Aves,Charadriiformes,215.25,11.3,,,,,,
Black-winged stilt,Aves,Charadriiformes,161.0,16.0,,,727.0,,,
Black-necked (Hawaiian) stilt,Aves,Charadriiformes,186.0,25.0,,,365.0,25.0,4.0,
American avocet,Aves,Charadriiformes,340.0,,,,365.0,24.0,4.0,
Pied avocet,Aves,Charadriiformes,304.0,27.8,,,730.0,,,
Red-necked avocet,Aves,Charadriiformes,324.675,,,,,,,
Common sandpiper,Aves,Charadriiformes,48.0,14.5,,,365.0,,,
Spotted sandpiper,Aves,Charadriiformes,34.0,12.0,,,365.0,20.0,4.0,
Ruddy turnstone,Aves,Charadriiformes,136.0,22.3,0.92,90.0,730.0,22.0,4.0,
Upland sandpiper,Aves,Charadriiformes,141.0,8.9,,,,22.0,4.0,
Sharp-tailed sandpiper,Aves,Charadriiformes,67.7,8.6,,,,,,
Sanderling,Aves,Charadriiformes,50.0,18.6,,,730.0,27.0,4.0,
Dunlin,Aves,Charadriiformes,52.5,28.8,,,730.0,21.0,4.0,
Red knot,Aves,Charadriiformes,135.0,27.3,,,1095.0,22.0,4.0,
Curlew sandpiper,Aves,Charadriiformes,58.1,19.7,,,1095.0,,,
White-rumped sandpiper,Aves,Charadriiformes,42.0,,,,365.0,22.0,4.0,
Stilt sandpiper,Aves,Charadriiformes,57.3,11.1,,,730.0,,,
Purple sandpiper,Aves,Charadriiformes,65.2,20.8,,,1095.0,22.0,4.0,
Western sandpiper,Aves,Charadriiformes,26.19,9.2,,,730.0,21.0,4.0,
Pectoral sandpiper,Aves,Charadriiformes,85.0,,,,365.0,22.0,4.0,
Little stint,Aves,Charadriiformes,21.1,14.7,,,730.0,,,
Least sandpiper,Aves,Charadriiformes,26.0,16.0,,,365.0,20.0,4.0,
Rock sandpiper,Aves,Charadriiformes,84.0,,,,365.0,20.0,4.0,
Semipalmated sandpiper,Aves,Charadriiformes,27.0,19.3,,,365.0,20.0,4.0,
Red-necked stint,Aves,Charadriiformes,26.95,21.8,,,,,,
Temminck's stint,Aves,Charadriiformes,23.0,12.9,,,455.0,,,
Great knot,Aves,Charadriiformes,179.167,20.9,,,,,,
Wilson's snipe,Aves,Charadriiformes,122.0,9.2,,,455.0,,,
Common snipe,Aves,Charadriiformes,131.6,18.2,,,365.0,19.0,4.0,
Japanese snipe,Aves,Charadriiformes,155.567,,,,,,,
Great snipe,Aves,Charadriiformes,174.5,5.9,,,,,,
Broad-billed sandpiper,Aves,Charadriiformes,37.1,11.6,,,,,,
Short-billed dowitcher,Aves,Charadriiformes,105.0,13.3,,,365.0,21.0,4.0,
Long-billed dowitcher,Aves,Charadriiformes,130.0,13.2,,,365.0,20.0,4.0,
Asian dowitcher,Aves,Charadriiformes,198.75,,,,,,,
Marbled godwit,Aves,Charadriiformes,336.0,13.7,,,1095.0,24.0,4.0,
Bar-tailed godwit,Aves,Charadriiformes,322.0,34.0,,,730.0,21.0,4.0,
Black-tailed godwit,Aves,Charadriiformes,294.0,23.6,,,730.0,,,
Jack snipe,Aves,Charadriiformes,50.2,12.3,,,365.0,,,
Eurasian curlew,Aves,Charadriiformes,728.0,31.8,,,730.0,,,
Eastern curlew,Aves,Charadriiformes,824.75,19.1,,,,,,
Little curlew,Aves,Charadriiformes,172.25,,,,,,,
Whimbrel,Aves,Charadriiformes,365.7,24.2,,,730.0,22.0,4.0,
Bristle-thighed curlew,Aves,Charadriiformes,408.6,23.8,,,1065.0,,4.0,
Red-necked phalarope,Aves,Charadriiformes,33.8,12.9,,,365.0,,,
Wilson's phalarope,Aves,Charadriiformes,57.0,10.0,,,,23.0,4.0,
Ruff,Aves,Charadriiformes,136.0,13.9,,,730.0,,,
American woodcock,Aves,Charadriiformes,197.5,20.9,1.066,156.7,300.0,20.0,4.0,
Eurasian woodcock,Aves,Charadriiformes,308.3,15.5,2.16,430.0,365.0,,,
Spotted redshank,Aves,Charadriiformes,158.0,8.6,,,365.0,,,
Lesser yellowlegs,Aves,Charadriiformes,80.65,,,,365.0,23.0,2.0,
Wood sandpiper,Aves,Charadriiformes,62.5,11.7,,,365.0,,,
Common greenshank,Aves,Charadriiformes,187.0,24.4,,,365.0,,,
Green sandpiper,Aves,Charadriiformes,90.0,11.5,,,365.0,,,
Willet,Aves,Charadriiformes,270.0,12.6,,,730.0,22.0,4.0,
Marsh sandpiper,Aves,Charadriiformes,77.5,8.5,,,363.0,,,
Common redshank,Aves,Charadriiformes,149.0,26.9,,,365.0,,,
Terek sandpiper,Aves,Charadriiformes,78.8,16.9,,,,,,
Brown skua,Aves,Charadriiformes,1687.0,28.8,,,1454.0,,,
Long-tailed jaeger,Aves,Charadriiformes,298.0,14.0,,,,23.0,2.0,
South polar skua,Aves,Charadriiformes,1349.0,23.5,,,1823.0,,,
Parasidic jaeger,Aves,Charadriiformes,445.5,31.1,,,1200.0,26.0,2.0,
Great skua,Aves,Charadriiformes,1340.0,35.9,,,2190.0,,,
African openbill,Aves,Ciconiiformes,1081.0,,,,,,,
Asian openbill,Aves,Ciconiiformes,,18.0,,,,,,
Abdim's stork,Aves,Ciconiiformes,1398.0,21.6,,,,,,
Oriental white stork,Aves,Ciconiiformes,4850.5,48.1,,,1278.0,,,
European white stork,Aves,Ciconiiformes,3350.0,39.0,,,1460.0,33.0,4.0,
Woolly-necked stork,Aves,Ciconiiformes,2061.0,32.0,,,,,,
Maguari stork,Aves,Ciconiiformes,4000.0,20.4,,,,,,
Black stork,Aves,Ciconiiformes,2926.0,31.3,,,1090.0,,,
Black-necked stork,Aves,Ciconiiformes,4100.0,34.0,,,,,,
Saddle-billed stork,Aves,Ciconiiformes,6162.5,30.2,,,,,,
Jabiru,Aves,Ciconiiformes,5470.0,27.4,,,,,,
Marabou,Aves,Ciconiiformes,8000.0,44.7,,,1460.0,30.0,2.0,
Greater adjutant,Aves,Ciconiiformes,,43.0,,,,,,
Lesser adjutant,Aves,Ciconiiformes,5710.0,31.1,,,,,,
Wood stork,Aves,Ciconiiformes,2500.0,27.0,,,1460.0,30.0,3.0,
Milky stork,Aves,Ciconiiformes,,12.4,,,,,,
Yellow-billed stork,Aves,Ciconiiformes,2166.5,19.1,,,1090.0,,,
Painted stork,Aves,Ciconiiformes,3180.0,28.6,,,,,,
Speckled mousebird,Aves,Coliiformes,51.0,11.5,,,363.0,14.0,,
Nicobar pigeon,Aves,Columbiformes,519.0,20.5,,,,17.0,1.0,
Common emerald dove,Aves,Columbiformes,136.983,12.0,,,,,,
Rock dove,Aves,Columbiformes,358.7,35.0,,,140.0,18.0,2.0,
"Stock dove, or Stock pigeon",Aves,Columbiformes,291.0,12.6,,,365.0,,,
Common wood-pigeon,Aves,Columbiformes,490.0,17.7,,,365.0,,,
Inca dove,Aves,Columbiformes,50.0,13.3,,,,14.0,2.0,
Common ground dove,Aves,Columbiformes,35.0,7.2,,,75.0,13.0,2.0,
Pied imperial pigeon,Aves,Columbiformes,457.55,14.0,,,,,,
Diamond dove,Aves,Columbiformes,31.55,,,,,,,
Bar-shouldered dove,Aves,Columbiformes,128.65,14.0,,,,,,
Zebra dove,Aves,Columbiformes,56.6,18.7,,,,,,
White-tipped dove,Aves,Columbiformes,147.5,8.6,0.8884,131.0,,14.0,2.0,
Wonga pigeon,Aves,Columbiformes,429.0,16.3,1.695,445.0,,,,
Amboyna cuckoo-dove,Aves,Columbiformes,236.75,,,,,,,
Crested pigeon,Aves,Columbiformes,204.5,17.3,,,,,,
Band-tailed pigeon,Aves,Columbiformes,315.0,18.5,,,365.0,19.0,1.0,
White-crowned pigeon,Aves,Columbiformes,247.0,14.4,,,365.0,,1.0,
Common bronzewing,Aves,Columbiformes,338.5,5.1,,,,,,
Brush bronzewing,Aves,Columbiformes,211.175,,,,,,,
Spotted dove,Aves,Columbiformes,159.0,16.7,,,,15.0,2.0,
Eurasian collared-dove,Aves,Columbiformes,157.4,17.9,,,365.0,15.0,2.0,
Ring dove,Aves,Columbiformes,,12.0,,,,,,
European turtle-dove,Aves,Columbiformes,132.0,13.2,1.138,154.0,365.0,,,
White-winged dove,Aves,Columbiformes,140.0,25.0,,,365.0,13.0,2.0,
Zenaida dove,Aves,Columbiformes,156.0,,,,,,,
Mourning dove,Aves,Columbiformes,119.0,31.3,0.736,123.0,90.0,14.0,2.0,
Common kingfisher,Aves,Coraciiformes,31.4,21.0,0.378,34.3,365.0,,,
Pied kingfisher,Aves,Coraciiformes,84.4,3.9,,,363.0,,,
Green kingfisher,Aves,Coraciiformes,34.0,5.0,,,,,3.0,
Laughing kookaburra,Aves,Coraciiformes,305.0,26.8,,,365.0,25.0,,
White-throated kingfisher,Aves,Coraciiformes,91.4,5.5,,,,,,
Yellow-billed kingfisher,Aves,Coraciiformes,40.65,5.7,,,,,,
Buff-breasted paradise kingfisher,Aves,Coraciiformes,49.725,9.0,,,,,,
Indian roller,Aves,Coraciiformes,158.0,8.9,,,,,,
Lilac-breasted roller,Aves,Coraciiformes,108.0,13.7,,,,21.0,,
European roller,Aves,Coraciiformes,146.0,9.2,,,363.0,,,
Dollarbird,Aves,Coraciiformes,148.383,,,,,,,
European bee-eater,Aves,Coraciiformes,56.6,5.9,,,365.0,,,
White-fronted bee-eater,Aves,Coraciiformes,34.8,7.0,,,,,,
Rainbow bee-eater,Aves,Coraciiformes,29.5,4.6,,,,,,
Russet-crowned motmot,Aves,Coraciiformes,75.7,10.4,,,,,,
Blue-crowned motmot,Aves,Coraciiformes,133.0,20.3,,,,21.0,,
Puerto Rican tody,Aves,Coraciiformes,5.9,14.0,,,363.0,,,
Chestnut-breasted cuckoo,Aves,Cuculiformes,31.5,,,,,,,
Fan-tailed cuckoo,Aves,Cuculiformes,49.85,6.0,,,,,,
Brush cuckoo,Aves,Cuculiformes,33.5083,3.8,,,,,,
Yellow-billed cuckoo,Aves,Cuculiformes,57.8,5.0,,,365.0,14.0,3.0,
Black-billed cuckoo,Aves,Cuculiformes,37.5,5.0,,,365.0,14.0,2.5,
"Common cuckoo, or Eurasian cuckoo",Aves,Cuculiformes,111.5,12.9,0.838,111.6,365.0,,,
Greater roadrunner,Aves,Cuculiformes,376.0,9.0,1.4661,284.7,365.0,20.0,4.0,
Puerto Rican lizard cuckoo,Aves,Cuculiformes,81.9,7.6,,,,,,
Channel-billed cuckoo,Aves,Cuculiformes,684.1,7.3,,,,,,
Sunbittern,Aves,Eurypygiformes,210.0,15.0,,,,27.0,2.0,
Crested caracara,Aves,Falconiformes,1031.0,25.8,,,,32.0,2.0,
Southern caracara,Aves,Falconiformes,1348.0,37.6,,,,,,
Brown falcon,Aves,Falconiformes,593.5,24.0,,,,,,
Nankeen kestrel,Aves,Falconiformes,172.5,7.0,,,,,,
Saker falcon,Aves,Falconiformes,966.0,15.9,,,727.0,,,
Merlin,Aves,Falconiformes,195.0,12.7,,,365.0,30.0,5.0,
Eleonora's falcon,Aves,Falconiformes,390.0,11.2,,,545.0,,,
Aplomado falcon,Aves,Falconiformes,342.5,12.0,,,,32.0,2.64,
Australian hobby,Aves,Falconiformes,246.0,,,,,,,
Prairie falcon,Aves,Falconiformes,858.0,17.2,,,365.0,31.0,4.0,
Lesser kestrel,Aves,Falconiformes,152.5,10.9,,,365.0,,,
Peregrine falcon,Aves,Falconiformes,840.0,25.0,,,365.0,30.0,3.0,
Mauritius kestrel,Aves,Falconiformes,169.5,10.0,,,,,,
Greater kestrel,Aves,Falconiformes,261.0,,,,,,,
Gyrfalcon,Aves,Falconiformes,1406.5,13.5,,,730.0,35.0,3.72,
American kestrel,Aves,Falconiformes,117.0,17.0,,,365.0,29.0,4.6,
Eurasian hobby,Aves,Falconiformes,209.5,14.9,1.3014,208.0,365.0,,,
Black falcon,Aves,Falconiformes,692.775,11.6,,,,,,
Common kestrel,Aves,Falconiformes,184.0,23.8,,,365.0,,,
Red-footed falcon,Aves,Falconiformes,152.5,13.2,,,363.0,,,
Wattled curassow,Aves,Galliformes,2500.0,20.0,,,,,,
Great curassow,Aves,Galliformes,4133.0,24.0,,,,,,
Razor-billed curassow,Aves,Galliformes,2813.0,23.0,,,,,,
Plain chachalaca,Aves,Galliformes,495.5,8.8,,,365.0,23.0,3.0,
"Australian brushturkey, or Brush turkey",Aves,Galliformes,2340.0,12.5,,,,,,
Malleefowl,Aves,Galliformes,1867.5,5.1,,,,,,
Maleo,Aves,Galliformes,1564.0,23.0,,,,,,
Helmeted guineafowl,Aves,Galliformes,1299.0,,,,,27.0,9.0,
California quail,Aves,Galliformes,138.0,9.6,,,274.0,22.0,14.0,
Gambel's quail,Aves,Galliformes,166.0,7.4,0.755,126.1,365.0,22.0,11.0,
Northern bobwhite,Aves,Galliformes,194.0,6.4,,,365.0,23.0,15.0,
Red-legged partridge,Aves,Galliformes,528.0,6.2,,,363.0,,,
Ruffed grouse,Aves,Galliformes,532.0,11.0,2.3894,644.0,120.0,24.0,11.0,
Sage grouse,Aves,Galliformes,1929.5,7.0,,,365.0,26.0,7.0,
Lady Amherst's pheasant,Aves,Galliformes,738.0,19.6,,,363.0,24.0,,
Golden pheasant,Aves,Galliformes,625.0,13.4,,,365.0,22.0,10.0,
King quail,Aves,Galliformes,45.0,5.0,,,,,,
Common quail,Aves,Galliformes,96.5,14.6,0.891,97.0,365.0,,,
Japanese quail,Aves,Galliformes,115.0,6.0,,,63.0,17.0,,
Stubble quail,Aves,Galliformes,100.975,4.2,,,,,,
Brown quail,Aves,Galliformes,107.5,4.0,,,,,,
Blue grouse,Aves,Galliformes,1058.5,14.0,4.957,1131.0,365.0,26.0,8.0,
Spruce grouse,Aves,Galliformes,417.3,13.0,,,365.0,20.0,5.0,
Black francolin,Aves,Galliformes,453.0,7.0,,,,19.0,7.0,
Grey francolin,Aves,Galliformes,334.0,8.0,,,,18.0,7.5,
Red junglefowl,Aves,Galliformes,779.8,30.0,6.005,2710.0,,,,
Willow ptarmigan,Aves,Galliformes,595.875,9.0,2.872,567.0,365.0,21.0,6.0,
White-tailed ptarmigan,Aves,Galliformes,326.0,15.0,,,545.0,23.0,6.0,
Rock ptarmigan,Aves,Galliformes,535.5,11.7,,,363.0,,,
Eurasian black grouse,Aves,Galliformes,1079.0,12.2,,,365.0,,,
Wild turkey,Aves,Galliformes,6050.0,13.0,,,304.0,28.0,11.0,
Indian peafowl,Aves,Galliformes,4200.0,23.2,,,730.0,29.0,5.0,
Grey partridge,Aves,Galliformes,492.0,5.2,2.1783,501.0,365.0,24.0,16.0,
Common pheasant,Aves,Galliformes,1094.8,27.0,,,240.0,24.0,11.0,
Palawan peacock-pheasant,Aves,Galliformes,550.0,15.0,,,730.0,19.0,2.0,
Reeves's pheasant,Aves,Galliformes,1239.0,9.2,,,,,,
Western capercaillie,Aves,Galliformes,2950.0,18.0,11.816,4010.0,1095.0,,,
Hazel grouse,Aves,Galliformes,429.0,7.2,,,363.0,,,
Greater prairie chicken,Aves,Galliformes,908.0,5.0,,,365.0,23.0,13.0,
Lesser prairie chicken,Aves,Galliformes,794.5,13.5,,,365.0,23.0,11.0,
Sharp-tailed grouse,Aves,Galliformes,908.0,7.5,,,180.0,23.0,12.0,
Yellow-billed loon,Aves,Gaviiformes,5050.0,,,,1095.0,,2.0,
Black-throated diver,Aves,Gaviiformes,2724.0,28.0,,,1095.0,29.0,1.74,
Great northern diver,Aves,Gaviiformes,3405.0,24.1,,,1461.0,28.0,2.0,
Red-throated diver,Aves,Gaviiformes,1816.0,24.0,,,1095.0,28.0,2.0,
Demoiselle crane,Aves,Gruiformes,2400.0,27.0,,,730.0,28.0,2.0,
Grey crowned crane,Aves,Gruiformes,3372.0,27.2,,,1095.0,30.0,,
Whooping crane,Aves,Gruiformes,7500.0,40.0,,,1460.0,31.0,2.0,
Sarus crane,Aves,Gruiformes,8663.0,41.8,,,1817.0,32.0,,
Sandhill crane,Aves,Gruiformes,3890.0,36.6,,,1095.0,29.0,2.0,
Common crane,Aves,Gruiformes,5500.0,43.0,,,1825.0,,,
Red-crowned crane,Aves,Gruiformes,8500.0,25.2,,,1095.0,31.0,2.0,
Siberian crane,Aves,Gruiformes,5931.0,36.2,,,2181.0,,,
Hooded crane,Aves,Gruiformes,3700.0,24.0,,,1040.0,,,
Brolga,Aves,Gruiformes,6250.5,33.0,,,1363.0,,,
White-naped crane,Aves,Gruiformes,5400.0,45.0,,,1095.0,31.0,2.0,
American coot,Aves,Gruiformes,450.8,22.3,,,365.0,23.0,10.0,
"Eurasian coot, or Coot",Aves,Gruiformes,734.3,20.6,2.039,412.0,365.0,,,
Common moorhen,Aves,Gruiformes,392.0,18.6,,,365.0,19.0,9.0,
Dusky moorhen,Aves,Gruiformes,531.5,13.9,,,,,,
Weka,Aves,Gruiformes,899.3,13.8,,,363.0,,,
Buff-banded rail,Aves,Gruiformes,208.75,,,,,,,
Lord howe woodhen,Aves,Gruiformes,496.0,15.1,,,,,,
Purple swamphen,Aves,Gruiformes,850.0,8.4,,,,,,
Spotless crake,Aves,Gruiformes,45.5,,,,,,,
Water rail,Aves,Gruiformes,111.5,8.9,,,365.0,,,
Clapper rail,Aves,Gruiformes,308.0,7.5,,,365.0,22.0,10.0,
White-cheeked turaco,Aves,Musophagiformes,265.0,12.4,,,,,,
Houbara bustard,Aves,Otidiformes,1555.0,,,,545.0,,,
Great bustard,Aves,Otidiformes,7895.5,28.3,,,1636.0,,,
Yellow-rumped thornbill,Aves,Passeriformes,9.375,13.1,,,,,,
Tasmanian thornbill,Aves,Passeriformes,6.95,7.7,,,,,,
Western thornbill,Aves,Passeriformes,7.0,8.9,,,,,,
Mountain thornbill,Aves,Passeriformes,6.85,15.0,,,,,,
Striated thornbill,Aves,Passeriformes,7.1,23.5,,,,,,
Yellow thornbill,Aves,Passeriformes,6.35,13.8,,,,,,
Brown thornbill,Aves,Passeriformes,7.6,17.6,,,,,,
Buff-rumped thornbill,Aves,Passeriformes,7.7,9.5,,,,,,
Chestnut-rumped thornbill,Aves,Passeriformes,6.35,7.0,,,,,,
Southern whiteface,Aves,Passeriformes,12.35,14.3,,,,,,
Western gerygone,Aves,Passeriformes,5.4,6.5,,,,,,
Mangrove gerygone,Aves,Passeriformes,6.2,5.5,,,,,,
Large-billed gerygone,Aves,Passeriformes,6.8,4.1,,,,,,
Brown gerygone,Aves,Passeriformes,5.25,8.9,,,,,,
Fairy gerygone,Aves,Passeriformes,7.475,4.0,,,,,,
Dusky gerygone,Aves,Passeriformes,7.85,10.6,,,,,,
Fernwren,Aves,Passeriformes,20.0,4.0,,,,,,
Rockwarbler,Aves,Passeriformes,14.35,7.0,,,,,,
Pilotbird,Aves,Passeriformes,31.4,6.5,,,,,,
Redthroat,Aves,Passeriformes,12.5,9.0,,,,,,
Yellow-throated scrubwren,Aves,Passeriformes,17.4,15.6,,,,,,
White-browed scrubwren,Aves,Passeriformes,13.4,17.6,,,365.0,,,
Atherton scrubwren,Aves,Passeriformes,11.4,,,,,,,
Weebill,Aves,Passeriformes,5.35,7.4,,,,,,
Great reed-warbler,Aves,Passeriformes,30.0,10.1,0.257,21.9,365.0,,,
Australian reed warbler,Aves,Passeriformes,24.2,7.1,,,,,,
